id_operacion,importe_operacion,saldo_medio_cliente,num_operaciones_30d,importe_total_30d,antiguedad_cliente_meses,score_crediticio,ratio_ingresos_deuda,num_alertas_previas,dias_desde_ultima_revision,porcentaje_operaciones_internacionales,canal_operacion,tipo_cliente,pais_riesgo,producto,segmento_riesgo_cliente,riesgo_auditoria
46,2606.42,4631.2,19,12234.89,117.0,685.0,0.437,2,383.0,0.193,oficina,empresa,alto,tarjeta,medio,1
47,171.42,4175.74,20,1980.37,40.0,662.0,0.048,0,39.0,0.27,app,particular,bajo,inversion,bajo,0
48,324.52,8248.2,16,4646.71,53.0,815.0,0.221,0,92.0,0.141,app,particular,alto,cuenta,bajo,0
49,908.24,10916.49,19,2305.23,70.0,648.0,0.166,0,55.0,0.074,web,particular,bajo,transferencia,medio,0
50,521.42,11437.7,15,2666.68,56.0,659.0,0.179,0,282.0,0.173,app,banca_privada,medio,prestamo,alto,0
51,279.18,14394.71,20,2748.73,110.0,675.0,0.641,0,27.0,0.155,app,pyme,bajo,tarjeta,bajo,0
52,944.06,14865.72,17,0.0,117.0,520.0,0.256,0,50.0,0.266,app,pyme,medio,tarjeta,medio,0
53,175.6,1573.09,16,0.0,47.0,786.0,0.279,0,37.0,0.3,oficina,particular,bajo,tarjeta,medio,0
54,597.05,7944.92,21,7828.09,42.0,677.0,0.507,1,14.0,0.02,web,particular,bajo,transferencia,alto,0
55,129.04,19527.85,28,1667.72,58.0,645.0,0.239,0,60.0,0.189,oficina,pyme,bajo,transferencia,medio,0
56,1719.18,3591.26,17,18469.7,71.0,750.0,0.204,0,7.0,0.023,oficina,empresa,bajo,tarjeta,bajo,0
57,95.14,2629.39,13,706.66,72.0,661.0,0.648,0,112.0,0.066,web,pyme,medio,transferencia,alto,0
58,103.45,1012.12,16,0.0,33.0,711.0,0.232,0,45.0,0.012,web,pyme,bajo,tarjeta,bajo,0
59,291.51,2386.51,14,3351.5,27.0,605.0,0.335,0,23.0,0.14,app,empresa,bajo,transferencia,bajo,0
60,120.52,4819.81,15,1857.31,105.0,624.0,0.202,1,150.0,0.161,app,particular,bajo,cuenta,bajo,0
61,516.08,18452.64,17,0.0,43.0,703.0,0.173,1,53.0,0.07,web,particular,bajo,tarjeta,bajo,0
62,397.98,1391.19,17,4468.23,53.0,630.0,0.201,0,73.0,0.005,web,banca_privada,medio,tarjeta,bajo,0
63,1150.26,19206.59,17,9079.97,95.0,545.0,0.234,0,80.0,0.241,web,particular,medio,prestamo,bajo,0
64,456.06,6525.98,11,0.0,65.0,801.0,0.385,0,6.0,0.023,oficina,particular,bajo,cuenta,medio,0
65,1120.87,1347.35,23,5897.75,54.0,559.0,0.56,1,99.0,0.118,web,particular,bajo,tarjeta,bajo,0
66,561.09,11423.96,21,5791.72,31.0,753.0,0.389,0,279.0,0.135,web,particular,bajo,inversion,bajo,0
67,11380.83,11631.73,22,100399.14,43.0,664.0,0.125,0,291.0,0.111,web,pyme,bajo,cuenta,medio,0
68,161.79,7535.6,17,6649.83,38.0,775.0,0.35,1,90.0,0.202,app,pyme,medio,tarjeta,medio,0
69,116.41,9115.83,10,172.44,50.0,684.0,0.174,1,320.0,0.188,app,particular,bajo,cuenta,bajo,0
70,725.94,12556.21,18,2142.35,36.0,671.0,0.274,1,184.0,0.013,web,particular,bajo,prestamo,bajo,0
71,186.32,7142.18,29,7316.77,27.0,720.0,0.454,1,182.0,0.054,app,particular,bajo,cuenta,alto,0
72,565.06,15260.99,17,0.0,56.0,683.0,0.139,0,135.0,0.145,app,empresa,bajo,transferencia,bajo,0
73,2809.64,1753.66,31,14713.22,77.0,699.0,0.026,1,11.0,0.08,cajero,particular,bajo,tarjeta,bajo,0
74,1070.55,8646.31,17,12729.06,19.0,672.0,0.324,1,21.0,0.313,app,particular,bajo,inversion,bajo,0
75,1699.92,8762.64,18,12550.46,32.0,755.0,0.594,1,23.0,0.012,app,particular,bajo,cuenta,alto,0
76,355.96,17919.46,16,3037.92,83.0,624.0,0.095,0,46.0,0.013,app,particular,medio,transferencia,bajo,0
77,324.45,12073.98,18,7097.42,68.0,800.0,0.641,0,182.0,0.082,app,particular,bajo,tarjeta,medio,1
78,1935.55,4036.08,15,10751.95,72.0,712.0,0.388,1,103.0,0.107,web,pyme,medio,cuenta,bajo,0
79,117.63,10934.26,25,0.0,82.0,774.0,0.342,0,29.0,0.076,web,particular,bajo,transferencia,bajo,0
80,940.99,2617.39,20,8435.42,91.0,623.0,0.133,0,150.0,0.057,oficina,particular,bajo,tarjeta,medio,0
81,473.24,2383.04,23,1545.11,51.0,850.0,0.593,0,55.0,0.009,web,particular,bajo,prestamo,bajo,0
82,306.39,5548.57,25,1127.97,58.0,733.0,0.619,0,34.0,0.065,app,particular,bajo,transferencia,medio,0
83,542.36,2212.64,12,235.91,29.0,846.0,0.145,2,112.0,0.127,oficina,particular,medio,tarjeta,bajo,0
84,481.0,4678.26,16,4333.63,55.0,652.0,0.213,0,47.0,0.187,app,pyme,bajo,cuenta,medio,0
85,1233.2,11605.63,15,8032.35,79.0,592.0,0.209,0,77.0,0.124,app,particular,bajo,transferencia,bajo,0
86,877.4,15079.1,16,2302.41,50.0,670.0,0.544,0,34.0,0.202,app,pyme,bajo,prestamo,bajo,0
87,237.5,2072.29,25,0.0,49.0,750.0,0.598,1,251.0,0.102,oficina,particular,bajo,transferencia,medio,0
88,2959.17,754.7,16,29288.12,31.0,788.0,0.226,0,203.0,0.273,web,pyme,bajo,transferencia,medio,0
89,3821.68,2292.24,15,17007.17,45.0,633.0,0.231,0,80.0,0.153,app,particular,bajo,transferencia,medio,0
90,987.47,4224.79,10,578.69,54.0,774.0,0.049,0,1.0,0.054,web,particular,bajo,prestamo,bajo,0
91,2257.36,59761.14,14,7606.62,87.0,713.0,0.42,0,51.0,0.233,app,particular,bajo,cuenta,bajo,0
92,704.19,2929.67,11,2641.62,38.0,763.0,0.371,1,90.0,0.033,web,particular,bajo,transferencia,bajo,0
93,242.93,34269.88,22,1351.69,42.0,586.0,0.183,3,363.0,0.036,web,particular,bajo,transferencia,bajo,0
94,1538.47,12662.38,21,11388.85,84.0,616.0,0.161,0,49.0,0.15,app,pyme,bajo,transferencia,alto,0
95,695.77,5677.65,18,3496.01,13.0,571.0,0.625,0,63.0,0.105,app,particular,bajo,transferencia,medio,0
96,863.97,5129.32,19,8700.98,93.0,679.0,0.258,0,36.0,0.206,web,empresa,medio,cuenta,bajo,0
97,652.47,19552.48,20,4915.45,47.0,765.0,0.152,0,10.0,0.113,app,pyme,bajo,tarjeta,bajo,0
98,2105.47,3412.76,21,8586.66,44.0,790.0,0.585,0,9.0,0.12,app,particular,bajo,cuenta,bajo,0
99,627.16,40722.39,23,3902.48,91.0,624.0,0.367,0,225.0,0.033,app,pyme,bajo,prestamo,bajo,0
100,758.81,10937.49,19,9308.22,65.0,718.0,0.146,0,65.0,0.189,api,particular,bajo,tarjeta,alto,0
101,1882.52,4456.86,18,3881.55,57.0,717.0,0.163,3,89.0,0.042,cajero,particular,bajo,cuenta,bajo,0
102,6509.16,7081.72,18,72750.2,45.0,533.0,0.182,0,111.0,0.151,web,particular,bajo,prestamo,bajo,0
103,548.93,18684.21,14,5009.27,21.0,706.0,0.245,0,1.0,0.231,app,pyme,bajo,tarjeta,bajo,0
104,8098.17,36015.64,24,17763.58,34.0,524.0,0.325,1,51.0,0.059,api,particular,medio,tarjeta,bajo,1
105,2669.78,9027.25,18,21812.86,92.0,671.0,0.08,0,186.0,0.175,oficina,particular,medio,tarjeta,bajo,0
106,1240.93,3802.36,13,6469.91,70.0,625.0,0.244,0,42.0,0.005,oficina,particular,bajo,cuenta,bajo,0
107,1834.11,7843.78,12,13005.96,26.0,730.0,0.248,2,134.0,0.078,web,particular,bajo,tarjeta,bajo,0
108,5416.9,1984.63,15,51201.07,100.0,741.0,0.392,0,24.0,0.096,app,particular,medio,cuenta,alto,0
109,596.89,12909.33,17,2095.78,16.0,797.0,0.316,1,42.0,0.058,app,particular,bajo,tarjeta,bajo,0
110,79.22,3200.43,18,0.0,37.0,686.0,0.243,0,521.0,0.114,cajero,pyme,alto,tarjeta,medio,0
111,134.68,3853.35,18,7687.88,30.0,708.0,0.128,0,300.0,0.054,web,particular,bajo,inversion,bajo,0
112,256.52,15278.86,19,3575.05,18.0,608.0,0.292,1,49.0,0.137,app,particular,alto,cuenta,bajo,1
113,1522.91,14673.93,27,17880.62,57.0,629.0,0.212,1,78.0,0.088,app,banca_privada,bajo,tarjeta,medio,0
114,675.23,2586.86,19,9263.43,43.0,636.0,0.248,1,109.0,0.156,web,empresa,bajo,transferencia,bajo,0
115,5748.21,7819.65,19,44434.98,45.0,669.0,0.213,0,198.0,0.034,app,particular,bajo,tarjeta,bajo,1
116,2101.85,6684.48,15,23410.8,70.0,853.0,0.552,0,78.0,0.059,cajero,particular,bajo,tarjeta,bajo,0
117,804.8,3269.39,14,11158.24,27.0,692.0,0.681,0,15.0,0.04,oficina,particular,bajo,transferencia,bajo,0
118,726.75,7661.97,24,11579.03,67.0,795.0,0.149,0,89.0,0.007,oficina,empresa,bajo,cuenta,medio,0
119,498.53,6037.38,16,5612.19,147.0,731.0,0.141,2,37.0,0.186,web,particular,bajo,inversion,bajo,0
120,513.4,4763.24,19,6046.75,39.0,749.0,0.225,1,87.0,0.071,web,particular,medio,tarjeta,bajo,0
121,809.66,15158.61,21,6221.01,160.0,696.0,0.374,1,66.0,0.018,web,particular,alto,transferencia,medio,0
122,149.72,1657.04,14,2761.03,78.0,670.0,0.33,0,39.0,0.092,web,particular,medio,transferencia,bajo,0
123,125.61,4080.81,19,3498.63,84.0,695.0,0.385,0,84.0,0.201,app,particular,alto,transferencia,bajo,0
124,611.85,3348.95,18,575.24,57.0,613.0,0.086,1,63.0,0.177,app,pyme,medio,cuenta,bajo,0
125,897.81,1645.37,15,8382.71,30.0,630.0,0.161,0,75.0,0.361,app,particular,medio,tarjeta,medio,0
126,589.95,7227.86,18,8036.05,50.0,679.0,0.121,2,38.0,0.179,web,particular,bajo,tarjeta,alto,0
127,366.73,2535.66,10,0.0,77.0,689.0,0.121,0,72.0,0.281,app,pyme,bajo,tarjeta,alto,0
128,3452.4,3337.02,15,40179.24,34.0,509.0,0.31,1,26.0,0.195,app,particular,medio,transferencia,bajo,1
129,1626.81,11752.86,23,11512.95,63.0,594.0,0.046,0,58.0,0.047,app,particular,bajo,tarjeta,bajo,0
130,634.57,1251.14,17,4350.88,95.0,731.0,0.612,0,35.0,0.198,web,particular,bajo,tarjeta,medio,0
131,341.21,10560.09,16,1959.68,37.0,743.0,0.32,1,38.0,0.143,app,pyme,bajo,prestamo,medio,0
132,265.12,25446.42,21,0.0,103.0,541.0,0.39,0,175.0,0.01,cajero,particular,bajo,tarjeta,bajo,0
133,1767.61,8260.86,21,5596.31,36.0,695.0,0.373,0,127.0,0.144,web,pyme,bajo,prestamo,bajo,0
134,262.03,13380.84,15,3856.04,126.0,900.0,0.069,1,180.0,0.401,app,particular,bajo,cuenta,bajo,0
135,3565.76,83928.13,10,43599.37,78.0,777.0,0.125,0,53.0,0.026,web,particular,bajo,prestamo,bajo,0
136,1517.4,7746.65,21,11070.1,61.0,581.0,0.433,0,109.0,0.222,app,particular,bajo,cuenta,bajo,0
137,594.73,9114.34,22,4567.82,105.0,694.0,0.242,0,147.0,0.109,api,particular,bajo,transferencia,medio,0
138,313.36,17406.16,24,5288.84,85.0,698.0,0.398,0,37.0,0.116,web,particular,bajo,cuenta,medio,0
139,1175.56,3704.28,19,11733.7,71.0,663.0,0.461,0,38.0,0.079,oficina,pyme,bajo,prestamo,bajo,0
140,545.24,2935.54,21,707.76,37.0,765.0,0.015,2,232.0,0.084,app,particular,bajo,prestamo,bajo,0
141,439.82,5928.14,17,1011.73,62.0,777.0,0.169,0,103.0,0.019,web,particular,bajo,tarjeta,bajo,0
142,371.93,4524.16,15,1862.75,71.0,634.0,0.216,0,1.0,0.279,web,empresa,medio,prestamo,bajo,0
143,975.44,1795.29,17,6742.41,90.0,734.0,0.249,0,115.0,0.134,cajero,particular,bajo,transferencia,bajo,0
144,328.23,1669.45,18,0.0,45.0,619.0,0.498,0,91.0,0.136,web,particular,alto,cuenta,bajo,0
145,816.87,1528.54,14,3164.81,39.0,670.0,0.208,2,101.0,0.101,web,particular,medio,prestamo,medio,0
146,2549.87,3623.82,20,31619.01,42.0,817.0,0.439,0,20.0,0.163,app,particular,medio,tarjeta,medio,0
147,361.77,2052.69,20,0.0,85.0,601.0,0.457,0,87.0,0.278,app,empresa,bajo,prestamo,alto,0
148,231.34,10610.87,19,1947.79,42.0,751.0,0.367,0,12.0,0.21,web,banca_privada,bajo,transferencia,medio,0
149,6566.59,25262.29,18,75715.56,85.0,571.0,0.251,1,52.0,0.021,web,particular,bajo,prestamo,medio,0
150,567.27,9871.4,15,4688.78,70.0,629.0,0.28,1,137.0,0.161,app,empresa,bajo,cuenta,medio,0
151,1748.62,2942.63,21,10079.34,75.0,623.0,0.29,0,22.0,0.17,cajero,particular,bajo,tarjeta,medio,0
152,625.9,51450.58,18,10843.04,131.0,606.0,0.133,0,85.0,0.061,cajero,banca_privada,bajo,tarjeta,bajo,0
153,493.17,3345.06,22,8847.22,91.0,560.0,0.283,0,36.0,0.069,app,pyme,bajo,cuenta,bajo,0
154,1985.63,3951.43,17,9555.41,107.0,570.0,0.103,0,43.0,0.058,web,particular,bajo,prestamo,bajo,0
155,2980.13,4602.01,22,35429.08,43.0,525.0,0.172,0,18.0,0.106,app,particular,bajo,transferencia,medio,0
156,198.41,15700.8,18,8696.68,29.0,610.0,0.184,0,6.0,0.22,web,pyme,bajo,transferencia,bajo,0
157,59.97,2672.0,22,0.0,34.0,601.0,0.091,0,147.0,0.09,app,particular,bajo,cuenta,bajo,0
158,1516.28,33006.65,17,20018.4,29.0,676.0,0.531,0,142.0,0.012,web,particular,bajo,transferencia,medio,0
159,3347.5,907.14,12,31709.21,37.0,794.0,0.215,0,86.0,0.084,oficina,particular,bajo,tarjeta,bajo,0
160,740.64,3016.41,13,6237.17,53.0,721.0,0.34,0,52.0,0.023,oficina,particular,medio,cuenta,bajo,0
161,508.93,14875.29,20,7976.0,49.0,707.0,0.167,0,23.0,0.205,app,particular,bajo,tarjeta,alto,0
162,765.36,69244.22,19,9584.46,79.0,620.0,0.365,0,106.0,0.059,cajero,particular,medio,prestamo,bajo,0
163,2000.53,29259.01,23,11073.49,38.0,719.0,0.455,0,74.0,0.184,app,pyme,bajo,tarjeta,bajo,0
164,1398.58,11160.08,13,10536.32,45.0,730.0,0.161,1,110.0,0.416,app,particular,bajo,transferencia,medio,1
165,245.57,2719.3,21,3778.01,76.0,626.0,0.321,0,66.0,0.132,web,particular,bajo,cuenta,alto,0
166,165.97,3273.36,18,3793.2,64.0,770.0,0.58,1,62.0,0.178,app,particular,bajo,tarjeta,bajo,0
167,114.15,13341.88,21,0.0,49.0,650.0,0.039,1,23.0,0.066,cajero,particular,bajo,tarjeta,bajo,0
168,827.3,13528.77,8,11114.38,120.0,651.0,0.555,1,1.0,0.053,oficina,particular,bajo,cuenta,bajo,0
169,4323.11,4068.1,9,52646.55,98.0,710.0,0.419,0,153.0,0.273,app,particular,bajo,tarjeta,bajo,0
170,48.51,4057.85,22,0.0,150.0,569.0,0.27,0,27.0,0.482,api,particular,bajo,transferencia,medio,0
171,242.66,18283.51,20,4047.92,134.0,633.0,0.56,0,34.0,0.136,app,particular,bajo,tarjeta,alto,0
172,2220.34,13578.02,20,22986.83,22.0,666.0,0.125,0,182.0,0.084,web,particular,medio,tarjeta,medio,0
173,281.75,9019.2,20,1292.57,69.0,625.0,0.344,3,63.0,0.298,app,particular,bajo,tarjeta,bajo,0
174,1508.97,3005.65,19,5925.38,21.0,720.0,0.097,1,15.0,0.109,cajero,pyme,bajo,tarjeta,medio,0
175,316.94,9475.13,18,11160.08,54.0,610.0,0.044,0,84.0,0.191,app,particular,bajo,cuenta,bajo,0
176,210.46,3946.77,15,2187.31,83.0,628.0,0.323,1,49.0,0.172,app,empresa,bajo,prestamo,bajo,0
177,1330.29,5985.7,22,18935.47,145.0,755.0,0.163,1,19.0,0.04,web,particular,medio,transferencia,bajo,0
178,171.78,7558.53,12,2418.16,82.0,676.0,0.097,0,294.0,0.159,api,particular,bajo,transferencia,bajo,0
179,617.59,10970.64,13,1448.44,60.0,739.0,0.531,0,15.0,0.232,cajero,particular,bajo,cuenta,bajo,0
180,606.64,852.74,18,5087.79,55.0,726.0,0.601,1,56.0,0.039,oficina,particular,bajo,tarjeta,medio,0
181,5866.39,17213.3,14,18629.13,101.0,827.0,0.087,0,129.0,0.034,cajero,particular,bajo,tarjeta,bajo,0
182,342.88,16071.89,20,0.0,89.0,638.0,0.094,0,91.0,0.016,cajero,pyme,bajo,transferencia,bajo,0
183,365.02,12713.24,14,3812.86,53.0,570.0,0.081,0,15.0,0.05,web,pyme,bajo,cuenta,bajo,0
184,1532.43,8955.11,19,14561.74,26.0,539.0,0.325,0,106.0,0.179,app,particular,alto,cuenta,bajo,1
185,1066.9,1674.9,9,7425.45,64.0,627.0,0.077,0,45.0,0.077,oficina,banca_privada,bajo,inversion,bajo,0
186,304.57,15909.59,22,1719.47,42.0,768.0,0.457,1,41.0,0.167,web,particular,bajo,cuenta,alto,0
187,338.97,3529.58,23,2224.66,38.0,733.0,0.487,0,59.0,0.081,app,particular,bajo,inversion,bajo,0
188,258.57,3095.91,21,823.42,20.0,662.0,0.217,0,4.0,0.113,app,pyme,bajo,prestamo,medio,0
189,520.43,43594.45,19,6616.07,126.0,862.0,0.184,0,104.0,0.178,oficina,particular,bajo,tarjeta,bajo,0
190,1181.6,8036.39,18,15482.4,155.0,569.0,0.448,0,293.0,0.169,app,particular,alto,cuenta,bajo,0
191,279.23,4759.57,14,3525.57,50.0,762.0,0.358,0,11.0,0.083,cajero,particular,bajo,transferencia,bajo,0
192,344.6,3796.22,16,4334.18,56.0,632.0,0.113,0,176.0,0.169,app,particular,bajo,cuenta,bajo,0
193,3916.81,7287.94,14,10336.68,65.0,828.0,0.059,1,62.0,0.004,app,particular,medio,tarjeta,medio,0
194,587.04,2914.18,13,5598.5,49.0,645.0,0.362,1,132.0,0.082,cajero,particular,medio,cuenta,bajo,0
195,1742.73,525.39,16,6325.54,72.0,771.0,0.228,0,27.0,0.146,app,particular,bajo,cuenta,medio,0
196,948.2,1942.16,27,1404.11,76.0,662.0,0.288,1,169.0,0.134,app,pyme,medio,transferencia,medio,0
197,672.95,5997.4,23,5697.64,122.0,894.0,0.225,1,10.0,0.066,web,empresa,bajo,cuenta,bajo,0
198,2149.87,13010.71,16,12616.43,31.0,699.0,0.605,0,21.0,0.061,cajero,particular,medio,prestamo,bajo,0
199,506.55,11460.21,12,2864.46,71.0,680.0,0.362,0,1.0,0.293,app,particular,bajo,transferencia,bajo,0
200,868.23,11551.02,13,2558.49,51.0,708.0,0.507,1,33.0,0.119,app,particular,bajo,tarjeta,medio,0
201,165.78,2475.93,13,0.0,49.0,739.0,0.313,0,102.0,0.248,oficina,particular,medio,prestamo,medio,0
202,179.96,7528.56,14,6634.76,16.0,816.0,0.079,0,12.0,0.17,api,particular,bajo,cuenta,bajo,0
203,198.96,11868.93,15,0.0,39.0,805.0,0.168,0,120.0,0.023,web,particular,alto,transferencia,bajo,0
204,163.44,12243.5,27,3122.02,78.0,511.0,0.524,0,63.0,0.097,app,pyme,bajo,cuenta,medio,0
205,3271.58,3503.24,18,6263.0,40.0,657.0,0.242,0,62.0,0.046,app,particular,bajo,prestamo,medio,0
206,291.15,11240.06,25,8656.06,64.0,627.0,0.326,0,38.0,0.209,app,particular,bajo,transferencia,bajo,0
207,549.42,6830.41,12,9024.33,8.0,745.0,0.57,1,125.0,0.096,app,particular,bajo,transferencia,bajo,0
208,1878.5,4260.98,21,4194.05,53.0,631.0,0.169,1,139.0,0.056,web,pyme,bajo,cuenta,bajo,0
209,3947.38,2071.92,21,45819.1,63.0,850.0,0.184,1,39.0,0.025,app,particular,bajo,tarjeta,medio,0
210,585.89,4753.26,29,4673.67,38.0,608.0,0.46,0,18.0,0.211,web,pyme,bajo,transferencia,medio,0
211,595.4,3158.19,18,1254.86,51.0,554.0,0.43,0,219.0,0.176,web,pyme,bajo,transferencia,bajo,0
212,165.15,2203.24,15,0.0,69.0,695.0,0.422,1,32.0,0.028,web,particular,bajo,prestamo,medio,0
213,88.09,4290.39,12,1896.05,46.0,744.0,0.271,1,88.0,0.076,app,particular,bajo,cuenta,medio,0
214,2290.4,3868.16,16,19800.47,76.0,596.0,0.342,0,1.0,0.102,oficina,particular,bajo,tarjeta,bajo,0
215,656.02,56033.3,17,7359.89,42.0,788.0,0.716,0,5.0,0.092,oficina,particular,medio,inversion,bajo,0
216,1387.33,14682.08,18,3234.59,88.0,626.0,0.099,1,49.0,0.066,oficina,particular,bajo,cuenta,bajo,0
217,1130.53,3168.3,20,8285.85,23.0,650.0,0.221,0,45.0,0.228,app,particular,bajo,transferencia,medio,0
218,239.21,18233.15,10,1497.24,56.0,690.0,0.297,1,21.0,0.233,app,pyme,bajo,tarjeta,bajo,0
219,262.33,9235.32,15,1341.15,75.0,631.0,0.43,1,46.0,0.123,cajero,particular,bajo,transferencia,medio,0
220,1278.66,1555.27,18,17623.89,58.0,847.0,0.66,1,5.0,0.244,app,particular,bajo,cuenta,bajo,0
221,1073.93,6527.34,20,10048.95,87.0,569.0,0.372,1,23.0,0.083,app,particular,bajo,cuenta,medio,0
222,2409.38,7648.47,12,28539.93,48.0,553.0,0.344,0,241.0,0.149,web,particular,medio,tarjeta,medio,0
223,294.84,4564.23,24,527.59,49.0,618.0,0.194,1,154.0,0.084,web,pyme,alto,transferencia,bajo,0
224,249.18,990.76,24,0.0,19.0,582.0,0.186,0,54.0,0.124,api,particular,bajo,prestamo,medio,0
225,854.76,716.78,13,6107.13,87.0,544.0,0.681,0,107.0,0.103,app,particular,bajo,prestamo,medio,0
