cliente_id,edad,antiguedad_cliente,ingresos_mensuales,situacion_laboral,estado_civil,nivel_estudios,provincia_riesgo,segmento_cliente,num_productos,saldo_medio_3m,limite_credito,deuda_total,cuota_mensual_prestamos,utilizacion_credito,porcentaje_ahorro,ratio_endeudamiento,retrasos_30d_12m,retrasos_60d_12m,retrasos_90d_12m,impagos_previos,consultas_credito_6m,nuevas_cuentas_12m,uso_banca_digital,alertas_fraude_12m,reclamaciones_12m,tiene_hipoteca,tiene_prestamo_personal,tiene_tarjeta_credito,tiene_seguro,score_interno,default,dias_mora_actual,recobro_gestionado,refinanciado_post
84,39,8.8,4651.82,temporal,casado,basicos,alto,alto,5,2653.37,20468.47,20098.01,604.47,0.0,0.57,0.13,1,1,0,0,2,0,0.805,0,0,0,0,1,0,950,0,0,0,0
85,34,7.9,2003.54,asalariado,casado,medios,bajo,medio,4,2129.93,1132.07,11025.78,144.34,0.0,1.063,0.072,0,2,0,0,1,2,0.398,0,0,0,0,0,0,932,0,0,0,0
86,39,10.1,1351.82,desempleado,casado,universitarios,medio,bajo,2,2767.34,5705.1,11726.67,328.21,0.534,2.047,0.243,2,0,1,0,2,1,0.504,0,0,0,0,1,1,811,0,0,0,0
87,30,0.4,1807.99,asalariado,soltero,universitarios,medio,medio,3,3172.06,6503.12,9940.76,156.32,0.622,1.754,0.086,0,1,0,0,3,2,0.516,0,0,0,0,0,0,837,0,0,0,0
88,39,7.7,3690.21,asalariado,casado,medios,bajo,alto,3,7648.68,3295.63,6847.8,139.7,0.241,2.073,0.038,2,0,1,0,3,0,0.499,0,0,1,0,0,1,853,0,0,0,0
89,47,11.7,2398.77,jubilado,soltero,universitarios,alto,medio,3,4178.33,10137.65,4217.93,44.92,0.761,1.742,0.019,1,0,0,0,1,0,0.59,0,1,0,0,1,1,950,0,0,0,0
90,41,3.8,1807.64,desempleado,casado,universitarios,medio,medio,4,953.26,10986.71,5123.4,157.76,0.373,0.527,0.087,3,0,0,0,3,1,0.521,0,0,1,0,0,1,818,0,0,0,0
91,57,16.8,1983.27,jubilado,soltero,medios,bajo,medio,4,3047.11,6538.89,6306.43,165.15,0.562,1.536,0.083,0,0,0,1,2,1,0.416,0,2,0,0,1,1,913,0,0,0,0
92,44,15.4,2010.89,jubilado,divorciado,universitarios,alto,medio,4,825.99,9172.13,9862.23,240.55,0.859,0.411,0.12,1,0,0,0,1,2,0.758,0,1,1,0,1,1,950,0,0,0,0
93,48,15.3,1908.11,autonomo,divorciado,universitarios,medio,medio,1,3781.41,7696.69,6435.77,159.58,0.34,1.982,0.084,0,0,0,0,2,0,0.802,0,0,0,0,1,0,950,0,0,0,0
94,40,9.4,3892.84,asalariado,soltero,medios,alto,alto,2,4965.23,18821.42,23192.06,391.96,0.56,1.275,0.101,0,0,0,0,1,1,0.633,1,0,0,1,1,1,950,0,0,0,0
95,58,6.5,3783.09,asalariado,casado,medios,medio,alto,4,3028.55,15829.59,21352.47,551.5,0.426,0.801,0.146,2,0,0,0,4,1,0.484,0,0,0,0,1,1,925,0,0,0,0
96,27,9.2,6353.12,asalariado,casado,postgrado,medio,alto,3,-1921.12,31908.74,17733.81,699.56,0.32,-0.302,0.11,1,1,0,0,3,3,0.265,0,2,0,0,1,0,935,0,0,0,0
97,38,10.3,1863.96,asalariado,soltero,universitarios,medio,medio,3,3614.94,5959.58,12023.47,461.26,0.206,1.939,0.247,0,2,0,0,0,2,0.463,0,0,0,0,1,0,893,0,0,0,0
98,28,0.0,1112.53,asalariado,soltero,basicos,medio,bajo,2,1249.62,4620.84,3859.83,97.05,0.165,1.123,0.087,1,0,0,0,3,0,0.681,0,1,0,0,1,1,787,0,0,0,0
99,52,20.1,1954.26,jubilado,soltero,medios,bajo,medio,2,4080.9,7357.95,10278.03,212.24,0.278,2.088,0.109,0,0,0,0,2,3,0.636,0,0,1,0,0,1,950,0,0,0,0
100,52,23.0,1983.46,asalariado,casado,basicos,alto,medio,2,2523.3,1217.62,1823.96,63.69,0.062,1.272,0.032,0,0,0,0,2,0,0.761,0,0,1,0,0,1,950,0,0,0,0
101,36,2.5,3998.19,autonomo,soltero,basicos,alto,alto,2,5082.82,25721.08,5692.87,163.78,0.249,1.271,0.041,0,0,0,0,1,1,1.0,1,0,1,0,1,1,893,0,0,0,0
102,62,1.1,1251.45,temporal,soltero,medios,bajo,bajo,2,3355.75,2367.57,6385.76,233.79,0.614,2.681,0.187,0,0,0,0,2,2,0.402,0,0,0,0,1,1,893,0,0,0,0
103,38,10.8,4185.35,asalariado,soltero,basicos,medio,alto,2,6757.99,18319.89,21733.83,767.74,0.558,1.615,0.183,0,0,0,0,3,0,0.792,0,0,1,0,1,1,925,0,0,0,0
104,25,7.3,2003.35,asalariado,soltero,basicos,bajo,medio,1,2576.38,6227.15,3231.31,92.08,0.775,1.286,0.046,2,0,0,0,0,1,0.44,0,1,0,0,0,1,843,0,0,0,0
105,39,9.9,1591.16,asalariado,soltero,medios,medio,medio,2,2506.45,4495.12,7044.7,138.1,0.914,1.575,0.087,0,0,0,0,1,1,0.821,0,1,0,1,1,0,945,0,0,0,0
106,46,16.4,2000.55,asalariado,casado,universitarios,bajo,medio,4,1883.5,7845.84,4196.39,133.41,0.73,0.941,0.067,1,0,0,0,3,0,0.671,0,0,0,1,1,1,950,0,0,0,0
107,39,15.0,1569.03,asalariado,soltero,medios,bajo,medio,4,2815.09,6291.89,6576.73,258.63,0.694,1.794,0.165,1,1,0,0,1,3,0.955,0,1,1,0,1,1,936,0,0,0,0
108,69,8.3,2886.57,autonomo,viudo,universitarios,medio,medio,3,2222.62,3248.2,12401.39,472.54,0.619,0.77,0.164,1,0,0,0,3,0,0.934,0,0,1,0,1,0,927,0,0,0,0
109,52,5.4,1490.92,temporal,casado,medios,bajo,medio,2,-478.74,6941.22,4543.57,84.99,0.137,-0.321,0.057,0,0,0,0,3,1,1.0,0,1,1,0,1,0,945,0,0,0,0
110,63,8.8,1986.24,autonomo,casado,medios,bajo,medio,5,2591.3,6452.38,8453.42,268.51,0.19,1.305,0.135,0,0,0,0,1,0,0.654,0,1,0,0,1,0,950,0,0,0,0
111,59,11.8,2531.71,asalariado,soltero,basicos,medio,medio,5,6032.03,11333.64,13007.05,406.03,0.024,2.383,0.16,0,1,0,0,1,1,0.803,0,0,1,0,1,1,937,0,0,0,0
112,22,2.4,1933.82,autonomo,casado,postgrado,alto,medio,2,3807.99,11677.26,8922.6,92.0,0.431,1.969,0.048,0,1,0,0,1,1,0.889,1,0,0,0,1,1,833,0,0,0,0
113,37,11.8,2620.57,temporal,casado,postgrado,bajo,medio,3,191.77,7801.74,16724.43,480.28,0.375,0.073,0.183,0,0,0,0,1,0,0.565,0,1,0,0,1,1,925,0,0,0,0
114,18,3.4,3134.93,asalariado,soltero,universitarios,medio,alto,2,1474.99,8453.59,4094.81,106.25,0.577,0.471,0.034,0,0,0,1,0,0,0.638,0,0,0,0,1,0,905,0,0,0,0
115,34,9.2,3464.43,asalariado,casado,medios,alto,alto,1,5918.14,9526.19,18244.1,496.08,0.307,1.708,0.143,0,0,0,0,0,0,0.894,0,0,0,0,1,0,950,0,0,0,0
116,55,19.5,2783.25,autonomo,casado,medios,bajo,medio,1,5737.81,6516.47,4786.86,119.39,0.806,2.062,0.043,0,1,0,0,1,1,0.816,0,1,1,0,1,0,950,0,0,0,0
117,32,5.8,2827.25,asalariado,casado,basicos,bajo,medio,3,3967.99,7969.04,19864.35,348.36,0.572,1.403,0.123,0,0,0,0,0,2,0.569,0,1,0,1,1,0,901,0,0,0,0
118,34,10.2,1634.05,asalariado,casado,universitarios,medio,medio,3,-796.56,5554.68,7240.13,88.15,0.72,-0.487,0.054,0,0,1,1,1,2,0.731,0,0,0,1,1,0,799,0,0,0,0
119,46,13.7,1561.94,asalariado,casado,medios,bajo,medio,6,4357.35,4535.09,3567.03,80.05,0.528,2.79,0.051,0,1,0,0,0,1,0.998,0,0,1,0,0,1,950,0,0,0,0
120,51,12.3,2263.01,asalariado,soltero,universitarios,alto,medio,2,2793.43,7211.94,5492.25,163.45,0.146,1.234,0.072,0,0,0,0,2,1,0.773,0,0,1,1,0,1,950,0,0,0,0
121,38,9.3,4973.91,jubilado,soltero,universitarios,bajo,alto,1,643.57,22576.89,30642.94,533.13,0.621,0.129,0.107,0,0,0,0,2,3,1.0,0,1,0,0,0,1,950,0,0,0,0
122,39,9.4,3851.75,jubilado,soltero,basicos,alto,alto,1,8178.37,14226.97,0.0,0.0,0.344,2.123,0.0,1,1,0,0,1,1,0.563,0,0,1,0,1,0,898,0,0,0,0
123,52,13.2,4137.21,asalariado,divorciado,basicos,medio,alto,2,395.24,14219.13,37630.27,1190.9,0.382,0.096,0.288,2,0,0,0,0,1,0.92,0,1,0,0,1,0,950,0,0,0,0
124,45,10.4,1546.29,asalariado,casado,universitarios,medio,medio,2,1754.06,8638.5,15836.99,301.86,0.136,1.134,0.195,0,0,0,0,1,1,0.501,0,0,0,0,1,0,922,0,0,0,0
125,39,12.4,5057.8,asalariado,casado,medios,alto,alto,2,5449.6,19813.67,17664.98,209.92,0.13,1.077,0.042,2,0,0,0,2,1,0.581,0,2,0,1,0,0,941,0,0,0,0
126,46,15.2,1468.91,asalariado,divorciado,medios,bajo,medio,1,2313.11,4986.11,10699.98,365.43,0.0,1.575,0.249,0,0,0,0,3,0,0.75,0,0,1,0,1,0,940,0,0,0,0
127,43,0.9,2944.4,temporal,soltero,basicos,medio,medio,2,4630.55,12668.87,7346.65,232.65,0.339,1.573,0.079,0,0,0,1,0,0,0.962,0,0,1,0,0,1,899,0,0,0,0
128,45,5.7,2908.28,desempleado,casado,universitarios,bajo,medio,3,2140.61,13541.45,17013.59,566.8,0.266,0.736,0.195,1,0,0,0,0,0,0.58,0,1,0,0,1,1,950,0,0,0,0
129,66,15.1,3201.5,jubilado,casado,basicos,bajo,alto,3,7912.7,5918.02,14397.99,372.79,0.165,2.472,0.116,1,1,0,0,2,1,0.651,0,2,0,1,1,0,950,0,0,0,0
